Line_Name,citybound_from_station,citybound_to_station,segment_km,citybound_avg_run_minutes,outbound_avg_run_minutes,citybound_avg_scheduled_kmh,outbound_avg_scheduled_kmh,paired_avg_run_minutes,paired_avg_scheduled_kmh,minute_gap,kmh_gap,citybound_observed_segments,outbound_observed_segments,confidence_band
Werribee,Werribee,Southern Cross,31.697,32.17,40.0,59.5,47.5,36.08,52.7,7.83,12.0,6,1,low
Werribee,Laverton,Newport,10.45,8.76,8.14,71.9,78.0,8.45,74.2,0.61,6.1,13515,14367,medium
Werribee,Seaholme,Newport,5.572,8.48,6.67,39.5,50.1,7.57,44.1,1.81,10.6,19546,20058,medium
Werribee,Newport,Footscray,4.932,5.74,6.26,51.6,47.6,6.0,49.3,0.51,4.1,13380,13613,medium
Werribee,Hoppers Crossing,Williams Landing,4.465,2.67,3.67,100.5,73.1,3.17,84.6,1.0,27.4,22890,23735,low
Werribee,Werribee,Hoppers Crossing,4.032,2.67,5.0,90.7,48.4,3.83,63.1,2.33,42.3,22892,23733,low
Werribee,Footscray,North Melbourne,3.943,4.81,4.67,49.4,50.7,4.74,49.9,0.14,1.3,13380,13615,high
Werribee,Laverton,Westona,2.472,3.67,3.83,40.5,38.8,3.75,39.5,0.17,1.7,19552,20055,high
Werribee,Footscray,South Kensington,2.131,2.67,2.67,47.9,47.9,2.67,47.9,0.0,0.0,19185,20317,high
Werribee,South Kensington,North Melbourne,1.812,2.67,2.54,40.7,43.9,2.61,41.7,0.14,3.2,19184,20319,high
Werribee,North Melbourne,Southern Cross,1.68,2.95,2.67,34.9,37.8,2.81,35.9,0.28,2.9,32318,33765,high
Werribee,Spotswood,Yarraville,1.678,1.66,1.67,60.8,60.4,1.66,60.5,0.0,0.4,19189,20313,high
Werribee,Westona,Altona,1.385,1.67,2.84,49.9,29.4,2.25,36.9,1.17,20.5,19550,20055,low
Werribee,Newport,Spotswood,1.335,1.67,2.67,48.1,30.0,2.17,37.0,1.0,18.0,19190,20313,low
Werribee,Southern Cross,Flinders Street,1.232,4.02,3.38,18.4,22.3,3.7,20.0,0.63,3.9,32320,33770,medium
Werribee,Aircraft,Laverton,1.221,1.67,0.67,44.0,109.9,1.17,62.8,1.0,65.9,22893,23743,low
Werribee,Altona,Seaholme,1.021,1.67,1.67,36.8,36.8,1.67,36.8,0.0,0.0,19549,20056,high
Werribee,Seddon,Footscray,0.995,1.67,0.77,35.8,83.9,1.22,49.0,0.9,48.1,19187,20315,low
Werribee,Williams Landing,Aircraft,0.974,2.67,2.33,21.9,26.4,2.5,23.4,0.34,4.5,22891,23736,high
Werribee,Yarraville,Seddon,0.924,1.67,1.67,33.3,33.3,1.67,33.3,0.0,0.0,19187,20314,high
Werribee,North Melbourne,Flinders Street,0.448,7.0,5.67,3.8,4.7,6.33,4.2,1.33,0.9,319,289,medium
